bookworm asked using the OEIS database, generated 100 different samples of cloze number sequences output with no labels in quiz file format sequence:answer with hash 0762f4d5
<---- snip ---->
1,3,5,7,__:9
2,6,12,__:18
1,2,6,24,__:120
1,3,9,27,__:81
6,36,216,__:1296
1,2,4,8,__:16
2,4,8,16,__:32
2,7,22,67,__:202
4,11,22,47,__:94
1,5,25,125,__:625
3,9,27,81,__:243
2,5,10,17,__:26
7,14,21,28,__:35
4,12,36,108,__:324
7,49,343,__:2401
1,4,9,16,__:25
3,6,12,24,__:48
2,8,32,128,__:512
1,2,3,6,__:12
6,11,21,36,__:56
6,15,45,135,__:405
6,24,96,384,__:1536
2,3,5,9,__:15
3,6,12,24,__:48
2,6,18,54,__:162
2,4,8,16,__:32
2,3,6,12,__:24
1,3,7,15,__:31
3,9,27,81,__:243
3,5,11,21,__:33
2,4,8,16,__:32
2,6,12,24,__:48
4,8,16,32,__:64
4,9,19,38,__:57
2,4,8,16,__:32
4,12,36,108,__:324
3,5,15,45,__:135
3,7,21,63,__:189
5,25,125,625,__:3125
1,2,4,8,__:16
3,6,12,24,__:48
3,9,27,81,__:243
2,6,12,24,__:48
2,6,18,54,__:162
1,4,9,16,__:25
3,7,21,63,__:189
2,4,8,16,__:32
2,5,10,20,__:40
3,6,9,18,__:36
3,9,27,81,__:243

