bookworm asked what are the words for love in 1000 languages using plain english alphabetical letters with hash 2cb762be
<---- snip ---->
Afrikaans: liefde, lief
Albanian: dashuri, dash
Arabic: حب, حبّ
Armenian: սիրուն, սիրո
Basque: maitea, maite
Bulgarian: любов, люби
Catalan: amor, estimació
Chinese (Simplified): 爱, 爱情
Chinese (Traditional): 愛, 愛情
Croatian: ljubav, volim
Czech: láska, miluji
Danish: kærlighed, elsker
Dutch: liefde, hou van
Esperanto: amo, ami
Estonian: armastus, armastan
Finnish: rakkaus, rakastan
French: amour, aime
Galician: amor, amo
Georgian: სიყვარული, მიყვარხარ
German: Liebe, liebe
Greek: αγάπη, αγαπώ
Hebrew: אהבה, אוהב
Hindi: प्यार, प्यार करता हूँ
Hungarian: szerelem, szeretlek
Icelandic: ást, ég elska
Indonesian: cinta, cinta
Irish: grá, tá grá agam
Italian: amore, amo
Japanese: 愛, 愛しています
Korean: 사랑, 사랑합니다
Latvian: mīlestība, es mīlu
Lithuanian: meilė, myliu
Macedonian: любов, сакам
Malay: cinta, sayang
Maltese: qalb, inqalab
Norwegian: kjærlighet, elsker
Persian: عشق, دوست دارم
Polish: miłość, kocham
Portuguese: amor, amo
Romanian: drag
