bookworm asked List all the words for LOVE in 60 languages converting letters to ASCII. with hash 400d03cc
<---- snip ---->
1. Afrikaans - Liefde
2. Albanian - Dashuri
3. Arabic - حب
4. Armenian - Սիրո
5. Basque - Maite
6. Belarusian - Каханне
7. Bengali - ভালবাসা
8. Bosnian - Ljubav
9. Bulgarian - Любов
10. Catalan - Amor
11. Chinese - 爱
12. Croatian - Ljubav
13. Czech - Láska
14. Danish - Kærlighed
15. Dutch - Liefde
16. English - Love
17. Estonian - Armastus
18. Filipino - Pag-ibig
19. Finnish - Rakkaus
20. French - Amour
21. Galician - Amor
22. Georgian - სიყვარული
23. German - Liebe
24. Greek - Αγάπη
25. Haitian Creole - Lavi
26. Hebrew - אהבה
27. Hindi - प्यार
28. Hungarian - Szerelem
29. Icelandic - Ást
30. Indonesian - Cinta
31. Irish - Grá
32. Italian - Amore
33. Japanese - 愛
34. Javanese - Kasih
35. Kannada - ಪ್ರೀತಿ
36. Kazakh - Сүйік
37. Khmer - ភ្នំពេញ
38. Korean - 사랑
39. Lao - ຍິນດີ
40. Latin - Amor
41. Latvian - Mīlestība
42. Lithuanian - Meilė
43. Macedonian - Љубов
44. Malay - Cinta
45. Maltese - Qalb
46. Maori - Aroha
47. Marathi - प्रेम
48. Mongolian - Эрэгтэй
49. Nepali - प्रेम
50. Norwegian - Kjærlighet
51. Persian - عشق
52. Polish - Miłość
53. Portuguese
