bookworm asked list of russian proverbs in english with hash 51eea49f
<---- snip ---->
1. "A bird in the hand is worth two in the bush."
2. "A creaking door hangs longest."
3. "A man is known by the company he keeps."
4. "A spoon does not know the taste of soup."
5. "A wolf won't eat wolf."
6. "An apple a day keeps the doctor away."
7. "Be patient and you'll get what you want."
8. "Blood is thicker than water."
9. "Don't look a gift horse in the mouth."
10. "Don't put all your eggs in one basket."
11. "If you want something done right, do it yourself."
12. "If you want to live in peace, prepare for war."
13. "It takes two to tango."
14. "Knowledge is power."
15. "No news is good news."
16. "One good turn deserves another."
17. "The early bird catches the worm."
18. "The end justifies the means."
19. "The more you have, the more you want."
20. "The pen is mightier than the sword."
