At what stadiums did the rock band The Who play
-------- snip --------
 during their 1979 tour

The Whos 1979 tour included concerts at the following stadiums: 

- Cotton Bowl (Dallas, TX)
- Riverfront Stadium (Cincinnati, OH)
- Three Rivers Stadium (Pittsburgh, PA)
- Pontiac Silverdome (Pontiac, MI)
- Rich Stadium (Orchard Park, NY)
- Wembley Stadium (London, England)
- Wankdorf Stadium (Bern, Switzerland)
- Stadio Comunale (Turin, Italy)
- Estadio Vicente Calderon (Madrid, Spain)
- Estadio Jose Zorrilla (Valladolid, Spain)
- Estadio Sarria (Barcelona, Spain)
- Estadio Olimpico (Rome, Italy)
- Parc des Princes (Paris, France)
- Olympiastadion (Munich, West Germany)
- Olymp
