bookworm asked llamar2: list letter use statistics for the latin alphabet; then use this information to populate 16 cubes each with 6 faces using more faces for letters  with more frequency with hash 8d7b7cf8
<---- snip ---->
A - 8 faces
B - 4 faces
C - 4 faces
D - 4 faces
E - 8 faces
F - 2 faces
G - 2 faces
H - 2 faces
I - 4 faces
J - 2 faces
K - 2 faces
L - 4 faces
M - 4 faces
N - 4 faces
O - 4 faces
P - 2 faces
Q - 2 faces
R - 4 faces
S - 4 faces
T - 4 faces
U - 2 faces
V - 2 faces
W - 2 faces
X - 2 faces
Y - 2 faces
Z - 2 faces
