bookworm asked list urls with libraries of downloadable quiz files with hash a1e2db0d
<---- snip ---->
1. https://www.proprofs.com/quiz-school/browse/
2. https://www.teachingchannel.org/quizzes
3. https://www.quizony.com/quiz/category/all
4. http://www.theteacherscorner.net/quizzes/
5. https://www.esl-lounge.com/student/quiz-zone/index.php
6. https://www.eslprintables.com/vocabulary_worksheets/quizzes/
7. https://www.eslgamesplus.com/free-quiz-questions-and-answers/
8. https://www.tes.com/teaching-resources/quizzes
9. http://www.quiz-zone.co.uk/
10. http://www.quiz-tree.com/
