bookworm asked 100 polish proverbs in polish with hash cdce8ecb
<---- snip ---->
1. "Kto mało mówi, ten mało błądzi"
2. "Głupi uczy się na swoich błędach, mądry na cudzych"
3. "Gdyby kózka nie skakała, to by nóżki nie złamała"
4. "Nie ma tego złego, co by na dobre nie wyszło"
5. "Co się odwlecze, to nie uciecze"
6. "Gdy kota nie ma, myszy harcują"
7. "Gdzie diabeł nie może, tam babę pośle"
8. "Lepszy wróbel w garści, niż gołąb na dachu"
9. "Kto rano wstaje, temu Pan Bóg daje"
10. "Gdzie jest wola, tam jest i sposób"
11. "Gdyby kij miał nogi, to by go nie nosił"
12. "Kłamstwo ma krótkie nogi"
13. "Czego Jaś się nie nauczy, tego Jan nie będzie umiał"
14. "Gdzie kucharek sześć, tam nie ma co jeść"
15. "Co cię nie zabije, to cię wzmocni"
16. "Kto sieje wiatr, zbiera burzę"
17. "Gdzie jest wiele głów, tam jest i mądrość"
18. "Gdy się człowiek spieszy, to diabeł cieszy się"
19. "Jak sobie pościelesz, tak się wyśpisz"
20. "Lepiej późno, niż wcale"
21. "Dobrymi chęciami piekło jest wybrukowane"
22. "Głupi się uczy, mądry się zastanawia"
23. "Mądry Polak po szkodzie"
24. "Kto nie s
